PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
21,Europa,FALSE,TRAPPIST-1e,49,FALSE,0,104,809,3668,7,Corey Bryan,FALSE
22,Earth,FALSE,TRAPPIST-1e,28,FALSE,0,55,0,656,0,Broderick Richard,FALSE
23,Europa,TRUE,55 Cancri e,19,FALSE,0,0,0,0,0,Sam Chen,TRUE
24,Earth,FALSE,TRAPPIST-1e,19,FALSE,78,0,0,550,0,Stella Barron,FALSE
25,Mars,FALSE,TRAPPIST-1e,28,FALSE,1811,1,57,0,0,Rodrigo Joseph,FALSE
26,Europa,TRUE,TRAPPIST-1e,33,FALSE,0,0,0,0,0,Leonidas Robbins,TRUE
27,Mars,FALSE,TRAPPIST-1e,14,FALSE,0,0,0,0,0,Zachary Miller,FALSE
28,Mars,FALSE,TRAPPIST-1e,46,FALSE,227,0,1546,3,2,Gaven Morrison,TRUE
29,Europa,FALSE,TRAPPIST-1e,28,TRUE,0,14076,0,928,372,Eden Gould,TRUE
30,Earth,TRUE,TRAPPIST-1e,9,FALSE,0,0,0,0,0,Billy Alvarado,FALSE
31,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,2012,1,9124,4,Evan Waller,FALSE
32,Earth,TRUE,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Titus Marks,FALSE
33,Mars,FALSE,TRAPPIST-1e,27,FALSE,1,1,2196,372,0,Samir Avery,FALSE
34,Europa,TRUE,55 Cancri e,14,FALSE,0,0,0,0,0,Brodie George,TRUE
35,Earth,FALSE,PSO J318.5-22,34,FALSE,122,0,6,739,0,Harley Romero,FALSE
36,Mars,FALSE,TRAPPIST-1e,19,FALSE,1019,266,141,0,0,Jaden Mack,TRUE
37,Mars,TRUE,TRAPPIST-1e,37,FALSE,0,0,0,0,0,Terrell Conrad,FALSE
38,Mars,FALSE,TRAPPIST-1e,35,FALSE,1219,0,1742,740,0,Lilia Dalton,FALSE
39,Europa,FALSE,TRAPPIST-1e,23,FALSE,381,794,52,654,1317,Neil Flowers,FALSE
40,Mars,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Elianna Donaldson,FALSE
41,Earth,FALSE,TRAPPIST-1e,9,FALSE,0,0,0,0,0,Javon Castaneda,FALSE
42,Earth,TRUE,TRAPPIST-1e,36,FALSE,0,0,0,0,0,Dakota Rose,TRUE
43,Mars,TRUE,TRAPPIST-1e,47,FALSE,0,0,0,0,0,Esther Sampson,TRUE
44,Europa,FALSE,55 Cancri e,45,FALSE,0,3200,0,415,161,Hannah Key,TRUE
45,Earth,FALSE,PSO J318.5-22,29,FALSE,2,3,1501,26,0,Mauricio Leblanc,TRUE
46,Europa,TRUE,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Sylvia Deleon,TRUE
47,Earth,TRUE,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Fletcher Mejia,FALSE
48,Earth,FALSE,TRAPPIST-1e,18,FALSE,1,56,0,602,205,Donna Sellers,FALSE
49,Europa,FALSE,TRAPPIST-1e,25,FALSE,6899,265,0,2234,2090,Carter Pace,FALSE
50,Europa,FALSE,TRAPPIST-1e,26,FALSE,36,2285,0,2287,159,Dania Hubbard,FALSE
51,Europa,TRUE,55 Cancri e,25,FALSE,0,0,0,0,0,Kamari Richardson,TRUE
52,Europa,FALSE,TRAPPIST-1e,27,TRUE,0,0,72,668,2713,Eliezer Moyer,FALSE
53,Europa,FALSE,TRAPPIST-1e,56,FALSE,0,0,0,0,0,Agustin Browning,FALSE
54,Earth,FALSE,55 Cancri e,0,FALSE,0,0,0,0,0,Julian Pollard,TRUE
55,Earth,TRUE,55 Cancri e,43,FALSE,0,0,0,0,0,Pablo Wiley,FALSE
56,Earth,FALSE,PSO J318.5-22,3,FALSE,0,0,0,0,0,Carlos Francis,TRUE
57,Earth,TRUE,TRAPPIST-1e,18,FALSE,0,0,0,0,0,Talan Wang,FALSE
58,Europa,TRUE,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Sanai Krueger,TRUE
59,Europa,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Davin Collins,TRUE
60,Earth,FALSE,55 Cancri e,19,FALSE,0,47,0,263,384,Maeve Blanchard,TRUE
61,Europa,TRUE,55 Cancri e,17,FALSE,0,0,0,0,0,Angelo Jordan,TRUE
62,Earth,FALSE,TRAPPIST-1e,24,FALSE,215,0,0,0,350,Mckenna Pace,FALSE
63,Earth,FALSE,TRAPPIST-1e,19,FALSE,1139,18,0,0,671,Nigel Archer,TRUE
64,Mars,TRUE,PSO J318.5-22,25,FALSE,0,0,0,0,0,Braylen Chavez,TRUE
65,Mars,FALSE,TRAPPIST-1e,49,FALSE,460,86,92,659,0,Vanessa Lang,FALSE
66,Europa,FALSE,55 Cancri e,32,FALSE,0,5755,0,59,122,Cullen Maldonado,TRUE
67,Mars,TRUE,TRAPPIST-1e,26,FALSE,0,0,0,0,0,Aniya Benitez,FALSE
68,Europa,FALSE,55 Cancri e,56,FALSE,53,3033,0,140,6102,Kaley Aguirre,FALSE
69,Earth,FALSE,55 Cancri e,51,FALSE,6,0,706,0,0,Isaiah Barnett,TRUE
70,Earth,FALSE,TRAPPIST-1e,21,FALSE,529,8,89,21,0,Caleb Gamble,TRUE
71,Earth,TRUE,TRAPPIST-1e,18,FALSE,0,0,0,0,0,Kellen Khan,TRUE
72,Earth,FALSE,TRAPPIST-1e,13,FALSE,0,0,31,0,810,Franco Pittman,TRUE
73,Europa,FALSE,TRAPPIST-1e,36,FALSE,0,2624,1657,2799,1,Guadalupe Mcfarland,FALSE
74,Earth,FALSE,55 Cancri e,21,FALSE,0,0,908,49,0,Riley Nash,TRUE
75,Mars,FALSE,TRAPPIST-1e,30,FALSE,616,0,185,210,475,Marvin Barnes,FALSE
76,Earth,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Hugh Cherry,TRUE
77,Mars,FALSE,TRAPPIST-1e,21,FALSE,1097,0,80,589,0,Lailah Robles,FALSE
78,Mars,FALSE,55 Cancri e,23,FALSE,228,1451,912,3,0,Camryn Freeman,TRUE
79,Earth,FALSE,TRAPPIST-1e,19,FALSE,42,0,345,1431,0,Camille Jones,FALSE
80,Earth,TRUE,PSO J318.5-22,32,FALSE,0,0,0,0,0,Ean Gibbs,TRUE
81,Mars,FALSE,TRAPPIST-1e,31,FALSE,1049,31,227,2,0,Jaidyn Ramos,FALSE
82,Earth,FALSE,55 Cancri e,50,FALSE,44,2390,0,53,0,Noe Gross,TRUE
83,Mars,TRUE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Francesca Marshall,TRUE
84,Mars,FALSE,TRAPPIST-1e,19,FALSE,30,0,42,3565,7,Hector Meyer,FALSE
85,Europa,TRUE,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Brenden Zuniga,TRUE
86,Europa,FALSE,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Hayley Ramsey,FALSE
87,Europa,FALSE,TRAPPIST-1e,30,FALSE,0,95,0,1202,5558,Sandra Grimes,FALSE
88,Mars,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Angel Turner,TRUE
89,Europa,TRUE,55 Cancri e,41,FALSE,0,0,0,0,0,Dawson Jacobson,TRUE
90,Earth,FALSE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,Jairo Moran,FALSE
91,Mars,TRUE,TRAPPIST-1e,34,FALSE,0,0,0,0,0,Rowan Dixon,TRUE
92,Earth,FALSE,TRAPPIST-1e,31,FALSE,32,0,876,0,0,Wesley Carrillo,FALSE
93,Mars,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Jasper Collins,FALSE
94,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Abril Chase,TRUE
95,Earth,TRUE,55 Cancri e,17,FALSE,0,0,0,0,0,Wendy Shah,TRUE
96,Europa,FALSE,TRAPPIST-1e,31,FALSE,1,104,1338,698,126,Darryl Bradford,TRUE
97,Earth,FALSE,PSO J318.5-22,13,FALSE,16,0,87,544,0,Melany Golden,FALSE
98,Europa,FALSE,TRAPPIST-1e,37,FALSE,0,0,0,0,0,Deborah Gill,FALSE
99,Mars,FALSE,TRAPPIST-1e,37,FALSE,148,0,684,1446,88,Paula Poole,FALSE
100,Mars,FALSE,TRAPPIST-1e,29,TRUE,0,0,0,0,0,Julissa Mckinney,FALSE
101,Earth,TRUE,PSO J318.5-22,48,FALSE,0,0,0,0,0,Roderick Blevins,TRUE
102,Mars,TRUE,55 Cancri e,38,FALSE,0,0,0,0,0,Tatiana Best,TRUE
103,Earth,FALSE,55 Cancri e,59,FALSE,258,377,5,0,0,Dominique Davila,TRUE
104,Mars,FALSE,TRAPPIST-1e,20,FALSE,0,0,0,0,0,Ellen Austin,FALSE
105,Earth,TRUE,PSO J318.5-22,14,FALSE,0,0,0,0,0,Kale Blackwell,TRUE
106,Earth,FALSE,TRAPPIST-1e,37,FALSE,951,0,0,80,0,Myah Davila,FALSE
107,Earth,FALSE,TRAPPIST-1e,24,FALSE,2,0,0,52,638,Alexa Fields,FALSE
108,Mars,TRUE,55 Cancri e,22,FALSE,0,0,0,0,0,Gordon Pugh,TRUE
109,Earth,FALSE,TRAPPIST-1e,25,FALSE,0,0,0,788,3,Nicholas Rosales,FALSE
110,Earth,FALSE,TRAPPIST-1e,23,FALSE,0,2891,0,6,0,Sharon Bird,TRUE
111,Earth,FALSE,55 Cancri e,49,FALSE,598,0,0,118,0,Melina Obrien,FALSE
112,Mars,FALSE,TRAPPIST-1e,26,FALSE,887,6,15,148,0,Aubrey Wilcox,FALSE
113,Europa,FALSE,TRAPPIST-1e,36,FALSE,0,972,0,795,575,Chace Beard,FALSE
114,Earth,TRUE,PSO J318.5-22,23,FALSE,0,0,0,0,0,Trenton Mcdaniel,TRUE
115,Earth,TRUE,55 Cancri e,4,FALSE,0,0,0,0,0,Jalen Guzman,TRUE
116,Earth,FALSE,TRAPPIST-1e,25,FALSE,0,1017,0,0,0,Mylie Moss,FALSE
117,Mars,TRUE,55 Cancri e,19,FALSE,0,0,0,0,0,Kian Oconnor,TRUE
118,Mars,TRUE,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Amiya Lester,TRUE
119,Europa,FALSE,TRAPPIST-1e,27,FALSE,267,2802,0,54,77,Sienna Pugh,TRUE
120,Mars,FALSE,55 Cancri e,18,FALSE,1092,0,208,150,0,Joshua Bentley,FALSE
121,Earth,FALSE,TRAPPIST-1e,32,FALSE,180,25,584,0,0,Jonas Howell,FALSE
122,Earth,FALSE,TRAPPIST-1e,59,FALSE,0,0,1,920,1,Rylee Rojas,TRUE
123,Earth,TRUE,PSO J318.5-22,31,FALSE,0,0,0,0,0,Grady Houston,TRUE
124,Earth,FALSE,TRAPPIST-1e,21,FALSE,0,0,901,3,0,Kenzie Rocha,FALSE
125,Earth,FALSE,TRAPPIST-1e,22,FALSE,1,2,243,0,484,Rogelio Bautista,FALSE
126,Europa,TRUE,TRAPPIST-1e,41,FALSE,0,0,0,0,0,Kelton Hooper,TRUE
127,Earth,TRUE,TRAPPIST-1e,17,FALSE,0,0,0,0,0,Makhi Schneider,TRUE
128,Europa,FALSE,TRAPPIST-1e,24,FALSE,812,5450,0,1,262,Alayna Soto,TRUE
129,Earth,FALSE,55 Cancri e,17,FALSE,0,11,493,0,372,Ramon Duffy,FALSE
130,Mars,FALSE,TRAPPIST-1e,31,FALSE,691,3,68,286,0,Dana Callahan,FALSE
131,Earth,TRUE,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Davin Marks,FALSE
132,Earth,FALSE,55 Cancri e,24,FALSE,13,0,2,673,3,Matias Smith,FALSE
133,Mars,FALSE,TRAPPIST-1e,23,FALSE,690,0,0,292,1596,Dominique Ritter,FALSE
134,Europa,FALSE,TRAPPIST-1e,79,FALSE,0,0,0,2210,2,Ahmad Clements,FALSE
135,Earth,TRUE,55 Cancri e,0,FALSE,0,0,0,0,0,Hillary Escobar,TRUE
136,Earth,FALSE,TRAPPIST-1e,20,FALSE,9,0,1462,94,54,Armando Middleton,TRUE
137,Earth,FALSE,TRAPPIST-1e,33,FALSE,1288,2,0,0,1,Saul Key,TRUE
138,Mars,FALSE,TRAPPIST-1e,36,FALSE,108,0,941,861,0,Ezekiel Bernard,FALSE
139,Europa,FALSE,TRAPPIST-1e,36,TRUE,0,5600,715,2868,971,Dallas Fernandez,TRUE
140,Earth,FALSE,PSO J318.5-22,26,FALSE,807,0,0,0,40,Zion Chaney,TRUE
141,Earth,TRUE,TRAPPIST-1e,27,FALSE,0,0,0,0,0,Mira Salinas,TRUE
142,Earth,FALSE,TRAPPIST-1e,18,FALSE,3,688,0,0,23,Kaya Franklin,TRUE
143,Europa,TRUE,TRAPPIST-1e,40,FALSE,0,0,0,0,0,Lauren Matthews,TRUE
144,Earth,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Oswaldo Knox,TRUE
145,Europa,TRUE,55 Cancri e,17,FALSE,0,0,0,0,0,Roselyn Kelly,TRUE
146,Earth,FALSE,55 Cancri e,0,FALSE,0,0,0,0,0,Regan Cunningham,TRUE
147,Earth,FALSE,55 Cancri e,55,FALSE,0,519,131,63,3,Dominik Heath,FALSE
148,Mars,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Aidyn Stewart,TRUE
149,Mars,FALSE,TRAPPIST-1e,40,FALSE,1268,0,0,0,0,Ana Sanchez,FALSE
150,Earth,TRUE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Francesca Brennan,TRUE
151,Earth,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Jeffery Mccormick,FALSE
152,Earth,FALSE,TRAPPIST-1e,18,FALSE,0,288,35,0,435,Kenneth Maxwell,FALSE
153,Mars,TRUE,55 Cancri e,45,FALSE,0,0,0,0,0,Jerimiah Garza,TRUE
154,Europa,FALSE,55 Cancri e,49,FALSE,3,1108,2,5775,1964,Rohan Mcpherson,FALSE
155,Earth,FALSE,TRAPPIST-1e,20,FALSE,0,465,0,5,223,Rhys Acosta,FALSE
156,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,4,0,0,904,Jean Hayden,FALSE
157,Earth,FALSE,TRAPPIST-1e,21,FALSE,0,314,323,1026,6,Ava Rogers,FALSE
158,Earth,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Courtney Hunt,TRUE
159,Earth,FALSE,PSO J318.5-22,22,FALSE,2,257,348,2,0,Kaley Maddox,TRUE
160,Earth,FALSE,TRAPPIST-1e,38,FALSE,0,338,0,453,0,Mina Donovan,FALSE
161,Earth,TRUE,TRAPPIST-1e,7,FALSE,0,0,0,0,0,Lincoln Allen,FALSE
162,Earth,TRUE,TRAPPIST-1e,4,FALSE,0,0,0,0,0,Adrianna Simmons,TRUE
163,Earth,TRUE,PSO J318.5-22,19,FALSE,0,0,0,0,0,Vicente Flores,FALSE
164,Earth,FALSE,55 Cancri e,38,FALSE,0,695,0,49,876,Phoenix Pittman,FALSE
165,Europa,TRUE,TRAPPIST-1e,29,FALSE,0,0,0,0,0,Marc Todd,TRUE
166,Earth,FALSE,TRAPPIST-1e,33,FALSE,0,0,232,0,622,Carlie Grant,FALSE
167,Earth,FALSE,TRAPPIST-1e,22,FALSE,664,0,0,65,0,Reagan Kidd,FALSE
168,Earth,FALSE,TRAPPIST-1e,46,FALSE,0,0,0,369,515,Luka Nixon,FALSE
169,Mars,FALSE,TRAPPIST-1e,64,FALSE,2147,0,191,59,0,Erick Dyer,FALSE
170,Europa,FALSE,55 Cancri e,58,TRUE,2,3862,0,1482,73,Elizabeth Mcintyre,FALSE
171,Europa,TRUE,55 Cancri e,44,FALSE,0,0,0,0,0,King Pratt,TRUE
172,Earth,TRUE,PSO J318.5-22,2,FALSE,0,0,0,0,0,Bradley Sexton,FALSE
173,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,201,0,0,603,Tony Harrison,FALSE
174,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,871,17,0,0,Shyanne Lambert,FALSE
175,Earth,FALSE,PSO J318.5-22,23,FALSE,5,308,363,7,0,Charles Caldwell,TRUE
176,Earth,FALSE,55 Cancri e,36,FALSE,85,0,545,15,0,June Landry,TRUE
177,Europa,FALSE,TRAPPIST-1e,36,FALSE,0,2177,0,1097,144,Evan Acevedo,TRUE
178,Earth,TRUE,TRAPPIST-1e,32,FALSE,0,0,0,0,0,Dylan Bartlett,FALSE
179,Earth,FALSE,PSO J318.5-22,31,FALSE,0,140,394,0,0,Saniyah Cain,FALSE
180,Earth,FALSE,TRAPPIST-1e,39,FALSE,0,0,13,0,868,Jovani Stanley,TRUE
181,Earth,TRUE,TRAPPIST-1e,30,FALSE,0,0,0,0,0,Nikolas Marshall,TRUE
182,Earth,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Talon Harrell,TRUE
183,Earth,FALSE,55 Cancri e,15,FALSE,0,20,816,39,1,Rachel Anthony,FALSE
184,Europa,TRUE,55 Cancri e,20,FALSE,0,0,0,0,0,Brooklyn Wu,TRUE
185,Earth,TRUE,TRAPPIST-1e,39,FALSE,0,0,0,0,0,Wesley Mcbride,FALSE
186,Earth,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,Heidy Washington,TRUE
187,Earth,TRUE,55 Cancri e,21,FALSE,0,0,0,0,0,Trey Moyer,TRUE
188,Europa,FALSE,55 Cancri e,38,FALSE,0,439,0,434,10074,Rodolfo Mora,FALSE
189,Mars,FALSE,TRAPPIST-1e,18,FALSE,131,0,980,1,0,Hugo Riley,TRUE
190,Earth,FALSE,TRAPPIST-1e,35,FALSE,4,53,0,0,844,Alisa Valdez,FALSE
191,Earth,FALSE,TRAPPIST-1e,38,FALSE,4,0,0,0,1679,Kaylynn Contreras,FALSE
192,Earth,FALSE,TRAPPIST-1e,15,FALSE,0,0,973,29,0,Beatrice King,TRUE
193,Europa,TRUE,TRAPPIST-1e,14,FALSE,0,0,0,0,0,Scarlett Greer,TRUE
194,Europa,FALSE,55 Cancri e,33,FALSE,0,1961,0,226,1077,Marley Huff,FALSE
195,Earth,FALSE,TRAPPIST-1e,28,FALSE,2,0,0,787,3,Conor Crawford,FALSE
196,Earth,FALSE,PSO J318.5-22,29,FALSE,0,173,0,0,1155,Samuel Simpson,TRUE
197,Earth,FALSE,TRAPPIST-1e,46,FALSE,0,0,1661,52,8,Korbin Wyatt,TRUE
198,Mars,FALSE,TRAPPIST-1e,33,FALSE,105,0,1087,0,0,Tyrell Terrell,FALSE
199,Europa,FALSE,55 Cancri e,40,FALSE,82,1390,0,347,6237,Emmy Blackwell,FALSE
200,Mars,TRUE,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Nathaniel Oconnor,FALSE
201,Earth,FALSE,55 Cancri e,4,FALSE,0,0,0,0,0,Karsyn Fowler,FALSE
202,Europa,FALSE,55 Cancri e,46,FALSE,35,3953,0,2108,0,Reyna Riggs,TRUE
203,Earth,FALSE,TRAPPIST-1e,18,FALSE,0,0,0,87,1232,Cierra Weaver,TRUE
204,Earth,TRUE,PSO J318.5-22,29,FALSE,0,0,0,0,0,Johan Villa,TRUE
205,Earth,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,Julio Santana,TRUE
206,Mars,FALSE,TRAPPIST-1e,24,FALSE,235,0,1642,1042,229,Eugene Pitts,FALSE
207,Europa,FALSE,TRAPPIST-1e,18,FALSE,0,1878,0,18572,10028,Mckinley Padilla,FALSE
208,Europa,TRUE,55 Cancri e,28,FALSE,0,0,0,0,0,Kaylin Cuevas,TRUE
209,Earth,TRUE,TRAPPIST-1e,9,FALSE,0,0,0,0,0,Eduardo Koch,TRUE
210,Europa,TRUE,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Jaylin Ewing,TRUE
211,Earth,TRUE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,Linda Lester,TRUE
212,Mars,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,Lea Koch,TRUE
213,Europa,FALSE,TRAPPIST-1e,27,FALSE,135,3103,9,424,629,Maribel Moses,FALSE
214,Europa,TRUE,55 Cancri e,23,FALSE,0,0,0,0,0,Sydnee Griffin,TRUE
215,Earth,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Skyler Yang,TRUE
216,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,165,1,2525,0,Alice Ross,FALSE
217,Europa,FALSE,TRAPPIST-1e,46,FALSE,0,3856,0,1,312,Dahlia Hodges,TRUE
218,Earth,FALSE,PSO J318.5-22,48,FALSE,0,0,501,242,0,Ulises Bruce,FALSE
219,Mars,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,Tori Stephens,TRUE
220,Earth,FALSE,TRAPPIST-1e,24,FALSE,90,2,1324,17,0,Juliana Nguyen,TRUE
221,Europa,FALSE,TRAPPIST-1e,29,FALSE,4,841,0,363,1107,Essence Stephens,TRUE
222,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,Marcel Wagner,TRUE
223,Mars,FALSE,TRAPPIST-1e,26,FALSE,1252,0,46,124,6,Vincent Newman,FALSE
224,Mars,FALSE,TRAPPIST-1e,34,FALSE,2130,0,1,1,0,Neil Mcconnell,FALSE
225,Mars,TRUE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,Jazmin Gaines,TRUE
226,Europa,FALSE,TRAPPIST-1e,40,FALSE,0,120,0,2814,318,Hailie Cisneros,FALSE
227,Earth,FALSE,TRAPPIST-1e,36,FALSE,0,0,38,9,943,Terrell Maynard,FALSE
228,Mars,TRUE,TRAPPIST-1e,22,FALSE,0,0,0,0,0,Riya Grant,TRUE
229,Mars,FALSE,PSO J318.5-22,30,TRUE,600,31,1,659,191,Tessa Novak,FALSE
230,Mars,TRUE,55 Cancri e,29,FALSE,0,0,0,0,0,Jeffrey Liu,TRUE
231,Earth,FALSE,TRAPPIST-1e,42,FALSE,0,29,317,434,45,Malaki Glenn,TRUE
232,Earth,FALSE,TRAPPIST-1e,24,FALSE,873,12,1,0,3,Sanaa Randolph,FALSE
233,Earth,FALSE,PSO J318.5-22,27,FALSE,0,0,0,1606,3675,Audrina Mccormick,FALSE
234,Earth,TRUE,55 Cancri e,15,FALSE,0,0,0,0,0,Leah Mathews,FALSE
235,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,7,31,700,0,Danika Jefferson,FALSE
236,Earth,FALSE,PSO J318.5-22,23,FALSE,8,173,0,1052,0,Eleanor Ward,FALSE
237,Europa,TRUE,55 Cancri e,47,FALSE,0,0,0,0,0,Muhammad Chaney,TRUE
238,Earth,FALSE,55 Cancri e,18,FALSE,749,0,74,0,0,Veronica Lamb,FALSE
239,Europa,FALSE,TRAPPIST-1e,43,FALSE,105,368,268,842,13,Darnell Landry,TRUE
240,Europa,TRUE,TRAPPIST-1e,48,FALSE,0,0,0,0,0,Naima Hickman,TRUE
241,Earth,FALSE,TRAPPIST-1e,35,FALSE,0,116,51,0,701,Coleman Robinson,FALSE
242,Europa,FALSE,TRAPPIST-1e,46,FALSE,0,3259,761,4423,0,Jakayla Mckenzie,FALSE
243,Earth,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,Malik Lang,FALSE
244,Earth,TRUE,TRAPPIST-1e,52,FALSE,0,0,0,0,0,Kaila Henry,FALSE
245,Earth,TRUE,55 Cancri e,48,FALSE,0,0,0,0,0,Dahlia Baker,TRUE
246,Earth,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,Malachi Martin,TRUE
247,Earth,FALSE,TRAPPIST-1e,37,FALSE,28,25,26,806,3,Aileen Kaufman,FALSE
248,Europa,TRUE,55 Cancri e,18,FALSE,0,0,0,0,0,Pablo Delgado,TRUE
249,Earth,TRUE,PSO J318.5-22,18,FALSE,0,0,0,0,0,Zack Landry,TRUE
250,Europa,TRUE,TRAPPIST-1e,25,FALSE,0,0,0,0,0,Noe Lewis,TRUE
251,Earth,FALSE,TRAPPIST-1e,30,FALSE,0,192,0,565,0,Keshawn Sims,FALSE
252,Mars,TRUE,TRAPPIST-1e,61,FALSE,0,0,0,0,0,Chasity Hardy,TRUE
253,Mars,TRUE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,Marcel Gates,TRUE
254,Earth,FALSE,TRAPPIST-1e,34,FALSE,0,0,880,22,0,Mekhi Cooley,TRUE
255,Europa,TRUE,55 Cancri e,22,FALSE,0,0,0,0,0,Ireland Roy,TRUE
256,Europa,FALSE,55 Cancri e,35,FALSE,87,1719,2750,0,79,Harmony Briggs,TRUE
257,Earth,FALSE,55 Cancri e,27,FALSE,3,13,0,0,788,Jocelyn Tapia,FALSE
258,Mars,TRUE,TRAPPIST-1e,52,FALSE,0,0,0,0,0,Jaylene Velasquez,FALSE
259,Europa,FALSE,TRAPPIST-1e,28,FALSE,1004,2423,0,0,17,Maeve Hunter,TRUE
260,Earth,FALSE,55 Cancri e,26,FALSE,386,0,74,0,1330,Nyla Sanford,FALSE
261,Earth,TRUE,55 Cancri e,23,FALSE,0,0,0,0,0,Tessa Collins,TRUE
262,Earth,FALSE,TRAPPIST-1e,22,FALSE,0,1,271,0,1348,Aisha Wise,FALSE
263,Earth,TRUE,TRAPPIST-1e,28,FALSE,0,0,0,0,0,Mckinley Compton,TRUE
